fan_engg_id,franchise_id,social_media_followers,merchandise_sales,fan_engagement_events
1,6,10028694,9260583.00,"User-friendly 6thgeneration moderator"
2,4,67537574,788513.00,"User-friendly heuristic concept"
3,9,11399694,797453.00,"Future-proofed asymmetric definition"
4,8,19595209,5275528.00,"Balanced context-sensitive paradigm"
5,9,97184116,9975198.00,"Grass-roots disintermediate attitude"
6,2,64762691,4225009.00,"Triple-buffered next generation archive"
7,8,62425011,3987295.00,"Profound multi-tasking methodology"
8,8,45139182,8501983.00,"Right-sized secondary model"
9,7,65555863,633185.00,"Function-based demand-driven extranet"
10,7,83620001,9365741.00,"Customer-focused impactful frame"
11,8,24151531,1194360.00,"De-engineered heuristic collaboration"
12,1,87327907,1899119.00,"Focused interactive conglomeration"
13,8,47526985,8933306.00,"Digitized stable success"
14,2,68951073,2787402.00,"Multi-lateral high-level capability"
15,6,92411864,8080141.00,"Synchronized bifurcated ability"
16,1,85289200,4789083.00,"Monitored analyzing function"
17,7,71798678,5445672.00,"Public-key static software"
18,7,79248761,4041673.00,"Cross-group 24hour Internet solution"
19,3,389626,5398715.00,"Inverse methodical ability"
20,8,41186353,1195853.00,"Mandatory 6thgeneration emulation"
21,1,22946964,8680693.00,"Reverse-engineered next generation array"
22,6,90581819,7684427.00,"Front-line human-resource Local Area Network"
23,4,42846751,6264929.00,"Organic cohesive alliance"
24,4,52364709,142507.00,"Up-sized contextually-based Local Area Network"
25,4,98906827,5073451.00,"Ameliorated asymmetric core"
26,9,17469433,3290332.00,"Versatile multi-state implementation"
27,2,95723638,2320460.00,"Digitized motivating task-force"
28,6,63961913,9374758.00,"Reactive interactive workforce"
29,2,46536836,2898333.00,"Exclusive intangible challenge"
30,1,69021384,7169312.00,"Robust discrete service-desk"
31,9,97286577,7567366.00,"Synergistic composite matrix"
32,9,23114685,4702693.00,"Profound disintermediate matrix"
33,3,49991927,829447.00,"Fundamental bottom-line collaboration"
34,5,35217728,1989074.00,"Public-key didactic neural-net"
35,1,69491905,7684725.00,"Future-proofed intangible initiative"
36,9,91643351,2325497.00,"Seamless value-added hierarchy"
37,1,35018707,4476769.00,"Function-based 4thgeneration interface"
38,9,18554297,4455726.00,"Cross-platform interactive alliance"
39,2,83665341,4571494.00,"Pre-emptive 6thgeneration instruction set"
40,4,70738621,8754201.00,"Programmable leadingedge toolset"
41,4,16193353,3073685.00,"Configurable intermediate policy"
42,3,11046895,3812954.00,"Intuitive demand-driven function"
43,10,75150886,9013775.00,"Self-enabling local methodology"
44,9,70374762,2279047.00,"Persevering next generation info-mediaries"
45,9,55159446,578567.00,"Grass-roots value-added hardware"
46,4,43411654,5289962.00,"Face-to-face attitude-oriented secured line"
47,5,23088904,2261154.00,"Reverse-engineered 24/7 info-mediaries"
48,7,35398896,5316502.00,"Devolved incremental benchmark"
49,5,56282357,2095678.00,"Advanced interactive productivity"
50,5,65455325,6551942.00,"Proactive coherent Internet solution"
51,5,5083700,7981132.00,"Enterprise-wide motivating strategy"
52,2,94541167,4659973.00,"Persevering responsive secured line"
53,9,78794103,1699886.00,"Versatile well-modulated challenge"
54,1,17795063,4235746.00,"Universal encompassing productivity"
55,9,55289087,4818001.00,"Multi-channeled optimal capability"
56,8,56140010,5564052.00,"Optional value-added collaboration"
57,10,64110484,4079875.00,"Synergistic intangible array"
58,7,47965910,8695852.00,"Face-to-face responsive implementation"
59,10,26537841,7567527.00,"Ameliorated high-level synergy"
60,6,70180060,5812569.00,"Enhanced incremental task-force"
61,9,7467245,258683.00,"Polarized object-oriented approach"
62,8,55470173,1289801.00,"Synergized upward-trending structure"
63,8,35598867,6338225.00,"Implemented interactive leverage"
64,9,99127219,4445491.00,"Customizable tangible middleware"
65,6,36683948,3699450.00,"Reduced discrete implementation"
66,9,91610358,5344618.00,"Cross-group analyzing standardization"
67,2,34122062,80958.00,"Operative value-added process improvement"
68,1,39845063,7044050.00,"Synchronized content-based pricing structure"
